Frame, Inference_Time(ms), CPU(%), RAM(MB), GPU_Mem(MB)
138, 10.01, 21.4, 3101.83, 52.39
139, 10.02, 21.4, 3101.83, 52.39
140, 10.04, 20.0, 3101.91, 52.39
141, 9.99, 26.7, 3101.91, 52.39
142, 9.99, 21.4, 3101.91, 52.39
143, 10.06, 20.0, 3101.91, 52.39
144, 10.05, 21.4, 3101.91, 52.39
145, 9.99, 25.0, 3101.91, 52.39
146, 10.03, 21.4, 3101.91, 52.39
147, 10.05, 29.4, 3101.79, 52.39
148, 10.02, 21.4, 3101.87, 52.39
149, 10.01, 21.4, 3101.87, 52.39
150, 9.96, 29.4, 3101.87, 52.39
151, 9.97, 15.4, 3101.87, 52.39
152, 9.95, 26.7, 3101.87, 52.39
153, 9.99, 26.7, 3101.87, 52.39
154, 9.93, 21.4, 3101.87, 52.39
155, 9.96, 20.0, 3101.87, 52.39
156, 9.90, 31.2, 3101.87, 52.39
157, 9.94, 20.0, 3101.87, 52.39
158, 9.96, 33.3, 3102.18, 52.39
159, 10.01, 26.7, 3102.18, 52.39
160, 10.06, 21.4, 3102.18, 52.39
161, 10.01, 26.7, 3102.18, 52.39
162, 10.01, 21.4, 3102.18, 52.39
163, 10.02, 26.7, 3102.18, 52.39
164, 10.02, 20.0, 3102.18, 52.39
165, 10.01, 21.4, 3102.18, 52.39
166, 10.02, 21.4, 3102.18, 52.39
167, 10.02, 20.0, 3102.18, 52.39
168, 9.99, 20.0, 3101.97, 52.39
169, 10.04, 21.4, 3101.97, 52.39
170, 9.89, 21.4, 3101.97, 52.39
171, 10.07, 26.7, 3101.97, 52.39
172, 9.95, 26.7, 3101.97, 52.39
173, 9.98, 21.4, 3101.97, 52.39
174, 10.01, 21.4, 3101.97, 52.39
175, 10.03, 29.4, 3101.97, 52.39
176, 10.00, 21.4, 3101.97, 52.39
177, 11.18, 23.5, 3102.05, 52.39
178, 10.04, 21.4, 3102.05, 52.39
179, 9.97, 26.7, 3102.05, 52.39
180, 9.92, 26.7, 3102.05, 52.39
181, 10.05, 20.0, 3102.05, 52.39
182, 10.01, 26.7, 3102.05, 52.39
183, 9.95, 25.0, 3102.05, 52.39
184, 10.03, 21.4, 3102.05, 52.39
185, 10.07, 25.0, 3101.95, 52.39
186, 10.04, 25.0, 3101.95, 52.39
187, 10.00, 31.3, 3101.95, 52.39
188, 10.01, 20.0, 3101.95, 52.39
189, 9.97, 31.2, 3101.95, 52.39
190, 9.90, 21.4, 3101.95, 52.39
191, 10.03, 20.0, 3101.95, 52.39
192, 9.90, 29.4, 3101.95, 52.39
193, 9.92, 26.7, 3101.95, 52.39
194, 10.00, 20.0, 3102.03, 52.39
195, 10.03, 21.4, 3102.03, 52.39
196, 10.02, 29.4, 3102.03, 52.39
197, 10.00, 21.4, 3102.03, 52.39
198, 10.15, 33.3, 3102.28, 52.39
199, 10.01, 25.0, 3102.52, 52.39
200, 10.14, 26.7, 3102.52, 52.39
201, 10.03, 20.0, 3102.52, 52.39
202, 10.05, 26.7, 3102.52, 52.39
203, 9.91, 20.0, 3102.46, 52.39
204, 10.03, 21.4, 3102.46, 52.39
205, 9.91, 20.0, 3102.46, 52.39
206, 9.83, 23.1, 3102.46, 52.39
207, 9.95, 25.0, 3102.46, 52.39
208, 9.94, 21.4, 3102.46, 52.39
209, 10.05, 25.0, 3102.46, 52.39
210, 9.89, 15.4, 3102.46, 52.39
211, 9.91, 25.0, 3102.54, 52.39
212, 10.05, 26.7, 3102.54, 52.39
213, 9.94, 25.0, 3102.54, 52.39
214, 9.93, 21.4, 3102.54, 52.39
215, 10.05, 20.0, 3102.54, 52.39
216, 10.08, 20.0, 3102.54, 52.39
217, 9.98, 29.4, 3102.54, 52.39
218, 9.99, 26.7, 3102.54, 52.39
219, 10.06, 26.7, 3102.45, 52.39
220, 10.00, 23.5, 3102.45, 52.39
221, 9.97, 26.7, 3102.45, 52.39
222, 9.99, 33.3, 3102.45, 52.39
223, 10.01, 20.0, 3102.45, 52.39
224, 10.04, 20.0, 3102.42, 52.39
225, 10.02, 21.4, 3102.42, 52.39
226, 10.06, 20.0, 3102.42, 52.39
227, 10.00, 21.4, 3102.42, 52.39
228, 10.08, 20.0, 3102.50, 52.39
229, 10.03, 25.0, 3102.50, 52.39
230, 9.88, 26.7, 3102.50, 52.39
231, 10.04, 20.0, 3102.50, 52.39
232, 9.99, 26.7, 3102.50, 52.39
233, 9.97, 20.0, 3102.72, 52.39
234, 9.99, 25.0, 3102.72, 52.39
235, 10.10, 20.0, 3102.63, 52.39
236, 10.01, 20.0, 3102.63, 52.39
237, 10.05, 20.0, 3102.63, 52.39
238, 10.14, 33.3, 3102.63, 52.39
239, 10.11, 25.0, 3102.63, 52.39
240, 10.12, 31.2, 3102.63, 52.39
241, 11.22, 25.0, 3102.63, 52.39
242, 10.04, 21.4, 3102.71, 52.39
243, 9.92, 29.4, 3102.71, 52.39
244, 9.94, 20.0, 3102.71, 52.39
245, 10.06, 25.0, 3102.71, 52.39
246, 10.04, 21.4, 3102.71, 52.39
247, 10.02, 14.3, 3102.71, 52.39
248, 9.95, 20.0, 3102.71, 52.39
249, 9.91, 20.0, 3102.63, 52.39
250, 10.00, 26.7, 3102.63, 52.39
251, 10.01, 25.0, 3102.71, 52.39
252, 10.09, 26.7, 3102.71, 52.39
253, 10.07, 20.0, 3102.71, 52.39
254, 10.06, 21.4, 3102.71, 52.39
255, 9.98, 20.0, 3102.71, 52.39
256, 10.03, 26.7, 3102.71, 52.39
257, 10.03, 14.3, 3102.71, 52.39
258, 10.05, 20.0, 3102.71, 52.39
259, 10.02, 29.4, 3102.62, 52.39
260, 10.01, 20.0, 3102.62, 52.39
261, 10.53, 25.0, 3102.59, 52.39
262, 9.92, 31.3, 3102.59, 52.39
263, 9.97, 18.7, 3102.59, 52.39
264, 9.94, 25.0, 3102.59, 52.39
265, 9.94, 21.4, 3102.59, 52.39
266, 10.03, 26.7, 3102.59, 52.39
267, 9.99, 21.4, 3102.59, 52.39
268, 9.90, 29.4, 3102.66, 52.39
269, 10.01, 20.0, 3102.66, 52.39
270, 9.87, 20.0, 3102.66, 52.39
271, 9.96, 20.0, 3102.66, 52.39
272, 10.07, 25.0, 3102.66, 52.39
273, 9.94, 26.7, 3102.66, 52.39
274, 9.92, 25.0, 3102.66, 52.39
275, 9.99, 20.0, 3102.66, 52.39
276, 9.99, 25.0, 3102.66, 52.39
277, 9.96, 28.6, 3102.99, 52.39
278, 9.95, 20.0, 3102.99, 52.39
279, 9.91, 21.4, 3102.99, 52.39
280, 10.06, 20.0, 3102.99, 52.39
281, 9.93, 29.4, 3102.99, 52.39
282, 9.91, 20.0, 3102.99, 52.39
283, 9.95, 21.4, 3102.99, 52.39
284, 9.99, 20.0, 3102.99, 52.39
285, 10.14, 25.0, 3102.90, 52.39
286, 10.03, 20.0, 3102.90, 52.39
287, 9.97, 26.7, 3102.90, 52.39
288, 9.94, 26.7, 3102.90, 52.39
289, 9.99, 25.0, 3102.90, 52.39
290, 10.00, 31.2, 3102.90, 52.39
291, 9.99, 21.4, 3102.90, 52.39
292, 10.03, 21.4, 3102.90, 52.39
293, 10.00, 31.2, 3102.90, 52.39
294, 10.01, 20.0, 3102.98, 52.39
295, 10.02, 20.0, 3102.98, 52.39
296, 10.08, 28.6, 3102.98, 52.39
297, 10.00, 21.4, 3102.98, 52.39
298, 10.02, 20.0, 3102.98, 52.39
299, 9.96, 20.0, 3102.98, 52.39
300, 10.03, 31.2, 3102.98, 52.39
301, 9.97, 20.0, 3102.98, 52.39
302, 9.96, 21.4, 3102.98, 52.39
303, 9.91, 31.3, 3103.02, 52.39
304, 9.97, 26.7, 3103.02, 52.39
305, 11.15, 25.0, 3103.02, 52.39
306, 9.82, 28.6, 3102.84, 52.39
307, 9.87, 14.3, 3102.84, 52.39
308, 9.92, 23.1, 3102.84, 52.39
309, 10.01, 20.0, 3102.84, 52.39
310, 9.95, 21.4, 3102.84, 52.39
311, 9.95, 20.0, 3102.84, 52.39
312, 9.99, 31.2, 3102.84, 52.39
313, 10.08, 21.4, 3102.84, 52.39
314, 9.98, 20.0, 3102.91, 52.39
315, 10.01, 21.4, 3102.91, 52.39
316, 10.09, 20.0, 3102.91, 52.39
317, 9.96, 23.1, 3102.91, 52.39
318, 9.92, 26.7, 3102.91, 52.39
319, 10.12, 25.0, 3102.91, 52.39
320, 10.01, 21.4, 3102.91, 52.39
321, 9.91, 29.4, 3102.91, 52.39
322, 9.98, 26.7, 3102.99, 52.39
323, 9.99, 20.0, 3102.99, 52.39
324, 10.02, 21.4, 3103.48, 52.39
325, 10.04, 20.0, 3103.48, 52.39
326, 9.94, 21.4, 3103.48, 52.39
327, 9.98, 25.0, 3103.48, 52.39
328, 10.10, 15.4, 3103.48, 52.39
329, 10.00, 21.4, 3103.48, 52.39
330, 10.06, 23.1, 3103.56, 52.39
331, 9.90, 25.0, 3103.56, 52.39
332, 9.94, 21.4, 3103.39, 52.39
333, 9.93, 29.4, 3103.39, 52.39
334, 10.03, 23.1, 3103.39, 52.39
335, 9.99, 20.0, 3103.39, 52.39
336, 9.88, 21.4, 3103.39, 52.39
337, 9.92, 26.7, 3103.39, 52.39
338, 9.96, 25.0, 3103.47, 52.39
339, 10.02, 20.0, 3103.47, 52.39
340, 10.07, 21.4, 3103.47, 52.39
341, 10.03, 14.3, 3103.47, 52.39
342, 10.04, 26.7, 3103.47, 52.39
343, 9.98, 20.0, 3103.34, 52.39
344, 10.06, 21.4, 3103.21, 52.39
345, 10.06, 25.0, 3103.21, 52.39
346, 10.03, 14.3, 3103.29, 52.39
347, 9.99, 31.2, 3103.29, 52.39
348, 10.10, 23.5, 3103.29, 52.39
349, 9.96, 15.4, 3103.29, 52.39
350, 9.84, 25.0, 3103.29, 52.39
351, 9.95, 21.4, 3103.21, 52.39
352, 9.94, 25.0, 3103.21, 52.39
353, 9.97, 21.4, 3103.21, 52.39
354, 10.04, 25.0, 3103.29, 52.39
355, 9.99, 20.0, 3103.29, 52.39
356, 9.90, 21.4, 3103.22, 52.39
357, 9.94, 28.6, 3103.47, 52.39
358, 10.01, 29.4, 3103.47, 52.39
359, 9.95, 21.4, 3103.47, 52.39
360, 9.98, 25.0, 3103.45, 52.39
361, 10.04, 15.4, 3103.45, 52.39
362, 9.84, 25.0, 3103.49, 52.39
363, 9.88, 15.4, 3103.49, 52.39
364, 9.98, 26.7, 3103.49, 52.39
365, 9.97, 21.4, 3103.49, 52.39
366, 10.06, 26.7, 3103.49, 52.39
367, 9.92, 20.0, 3103.49, 52.39
368, 10.01, 31.2, 3103.49, 52.39
369, 11.28, 14.3, 3103.49, 52.39
370, 9.98, 35.3, 3103.49, 52.39
371, 9.96, 21.4, 3103.49, 52.39
372, 10.00, 21.4, 3103.49, 52.39
373, 10.08, 20.0, 3103.49, 52.39
374, 9.98, 15.4, 3103.57, 52.39
375, 9.96, 31.3, 3103.57, 52.39
376, 9.99, 20.0, 3103.57, 52.39
377, 10.05, 31.2, 3103.57, 52.39
378, 10.03, 15.4, 3103.57, 52.39
379, 9.97, 29.4, 3103.57, 52.39
380, 10.03, 21.4, 3103.57, 52.39
381, 10.01, 20.0, 3103.57, 52.39
382, 10.18, 26.7, 3103.49, 52.39
383, 10.00, 20.0, 3103.81, 52.39
384, 9.95, 21.4, 3103.66, 52.39
385, 9.91, 25.0, 3103.66, 52.39
386, 9.93, 28.6, 3103.66, 52.39
387, 9.97, 14.3, 3103.66, 52.39
388, 10.01, 31.2, 3103.66, 52.39
389, 10.01, 20.0, 3103.66, 52.39
390, 10.02, 21.4, 3103.66, 52.39
391, 9.98, 18.8, 3103.66, 52.39
392, 10.05, 31.2, 3103.66, 52.39
393, 10.11, 20.0, 3103.74, 52.39
394, 10.00, 14.3, 3103.74, 52.39
395, 10.05, 26.7, 3103.74, 52.39
396, 10.05, 25.0, 3103.74, 52.39
397, 10.02, 33.3, 3103.98, 52.39
398, 9.95, 28.6, 3103.98, 52.39
399, 9.97, 29.4, 3103.98, 52.39
400, 10.09, 15.4, 3103.98, 52.39
401, 9.96, 25.0, 3103.89, 52.39
402, 10.07, 21.4, 3103.89, 52.39
403, 10.07, 25.0, 3103.89, 52.39
404, 9.93, 20.0, 3103.89, 52.39
405, 10.00, 25.0, 3103.89, 52.39
406, 10.06, 21.4, 3103.89, 52.39
407, 9.94, 20.0, 3103.89, 52.39
408, 9.93, 29.4, 3103.89, 52.39
409, 10.03, 20.0, 3103.97, 52.39
410, 10.01, 21.4, 3103.97, 52.39
411, 9.95, 21.4, 3103.97, 52.39
412, 10.07, 18.7, 3103.97, 52.39
413, 9.96, 25.0, 3103.97, 52.39
414, 9.92, 21.4, 3103.97, 52.39
415, 10.01, 21.4, 3103.97, 52.39
416, 9.99, 29.4, 3104.05, 52.39
417, 10.03, 20.0, 3104.05, 52.39
418, 9.96, 20.0, 3103.86, 52.39
419, 10.03, 20.0, 3103.86, 52.39
420, 9.96, 26.7, 3103.86, 52.39
421, 9.90, 25.0, 3103.86, 52.39
422, 9.93, 21.4, 3103.86, 52.39
423, 9.98, 29.4, 3103.86, 52.39
424, 9.88, 14.3, 3103.93, 52.39
425, 10.02, 20.0, 3103.86, 52.39
426, 10.06, 31.2, 3103.86, 52.39
427, 10.01, 20.0, 3103.86, 52.39
428, 10.02, 20.0, 3103.86, 52.39
429, 10.01, 26.7, 3103.86, 52.39
430, 10.02, 20.0, 3103.86, 52.39
431, 10.04, 20.0, 3103.86, 52.39
432, 10.02, 21.4, 3103.86, 52.39
433, 11.41, 23.5, 3103.94, 52.39
434, 10.03, 23.1, 3103.94, 52.39
435, 10.00, 20.0, 3103.94, 52.39
436, 9.99, 26.7, 3104.18, 52.39
437, 9.98, 33.3, 3104.43, 52.39
