Frame,Total_Inf(ms),YOLO(ms),ResNet(ms),UNet(ms),RAM(MB)
603,233.57,42.66,13.77,177.12,3153.04
604,224.48,39.12,13.22,172.13,3155.04
605,227.97,39.25,13.35,175.35,3153.52
606,225.40,38.96,13.31,173.11,3153.51
607,222.22,38.23,13.35,170.61,3154.49
608,262.62,38.74,13.29,210.57,3131.50
609,245.29,41.73,13.56,189.98,3149.21
610,234.84,41.96,13.41,179.46,3154.62
611,228.12,38.82,13.19,176.10,3156.90
612,228.21,40.78,13.30,174.11,3156.89
613,225.06,38.66,13.25,173.13,3158.89
614,224.03,38.16,13.33,172.52,3159.04
615,226.36,38.51,13.31,174.52,3159.29
616,224.30,38.31,13.17,172.79,3159.27
617,257.63,41.09,13.31,203.21,3160.00
618,230.59,41.04,13.18,176.36,3162.24
619,229.26,40.90,13.21,175.13,3158.72
620,228.35,40.71,13.32,174.30,3160.96
621,233.03,40.83,13.55,178.63,3159.04
622,232.44,40.54,13.29,178.59,3158.95
623,229.78,40.68,13.32,175.77,3162.17
624,229.35,40.75,13.35,175.23,3162.16
625,229.68,40.66,13.36,175.65,3162.14
626,255.13,41.13,13.31,200.67,3162.14
627,232.73,40.83,13.17,178.72,3165.12
628,227.46,38.31,13.22,175.91,3163.11
629,229.21,38.30,13.44,177.44,3163.10
630,231.54,42.37,13.79,175.35,3162.84
631,231.64,40.96,13.71,176.95,3162.83
632,226.56,40.90,13.27,172.37,3161.14
633,225.96,38.55,13.21,174.18,3161.38
634,219.58,38.40,13.35,167.81,3161.37
635,266.76,41.11,13.25,212.39,3147.80
636,238.02,41.76,13.48,182.76,3154.43
637,229.56,41.35,13.34,174.85,3156.67
638,229.82,41.18,13.28,175.35,3154.38
639,224.33,38.86,13.23,172.22,3157.12
640,224.09,39.23,13.32,171.52,3157.07
641,228.31,38.84,13.17,176.29,3157.06
642,230.20,38.75,13.43,178.00,3157.79
643,221.94,38.63,13.38,169.90,3158.51
644,255.39,38.73,14.48,202.16,3161.97
645,229.30,40.02,13.50,175.75,3161.96
646,231.76,41.07,13.27,177.40,3161.95
647,231.24,41.23,13.28,176.71,3163.95
648,233.20,41.81,13.83,177.53,3165.41
649,231.29,40.91,13.56,176.80,3163.16
650,230.03,40.55,13.34,176.12,3165.15
651,224.95,41.74,13.68,169.51,3167.63
652,232.13,40.85,13.22,178.03,3167.62
653,251.06,41.87,13.55,195.62,3167.21
654,215.93,41.45,12.78,161.68,3167.11
655,224.69,39.03,13.23,172.39,3167.10
656,236.64,39.20,13.53,183.88,3167.09
657,224.47,38.86,13.31,172.28,3165.32
658,225.53,38.46,13.24,173.82,3165.55
659,224.46,38.43,13.24,172.76,3165.79
660,230.29,38.46,13.35,178.46,3166.24
661,223.61,39.11,13.43,171.05,3166.50
662,250.50,38.91,13.33,198.25,3166.98
663,228.63,37.98,13.22,177.41,3169.00
664,248.88,38.20,13.22,197.44,3141.65
665,235.17,38.75,13.66,182.74,3162.84
666,232.15,39.35,13.19,179.58,3161.80
667,237.13,41.78,14.11,181.23,3162.54
668,235.69,39.43,13.33,182.91,3166.26
669,226.12,39.35,13.39,173.37,3164.99
670,227.97,39.39,13.20,175.37,3165.72
671,254.11,39.56,13.27,201.26,3166.45
672,235.22,39.88,13.64,181.68,3168.16
673,227.50,38.79,13.00,175.69,3166.14
674,225.91,38.77,13.27,173.85,3165.96
675,232.00,38.38,13.80,179.80,3165.86
676,234.59,38.22,13.32,183.03,3167.62
677,232.15,41.53,13.58,177.02,3167.61
678,228.58,38.57,13.72,176.27,3165.59
679,222.60,38.19,13.35,171.04,3166.08
680,258.26,39.05,13.24,205.96,3168.28
681,226.93,38.52,13.34,175.04,3170.28
682,230.00,38.30,13.18,178.50,3172.27
683,231.30,38.94,13.25,179.09,3170.51
684,236.59,41.48,13.33,181.76,3168.96
685,228.55,38.96,13.22,176.35,3168.79
686,225.45,38.80,13.20,173.43,3169.02
687,226.98,41.22,13.36,172.38,3168.71
688,234.53,40.69,13.37,180.45,3168.95
689,253.02,40.52,13.35,199.13,3170.95
690,229.34,40.48,13.26,175.58,3170.94
691,231.64,40.86,13.59,177.17,3168.93
692,254.48,40.74,13.49,200.24,3133.93
693,228.62,41.19,13.46,173.95,3135.37
694,228.92,41.43,13.56,173.91,3138.35
695,226.22,39.03,13.17,174.00,3137.25
696,226.13,38.75,13.29,174.08,3140.97
697,222.13,38.63,13.25,170.23,3143.95
698,254.50,41.57,13.67,199.25,3169.04
699,229.48,40.79,13.76,174.91,3171.28
700,229.74,41.71,13.27,174.74,3168.49
701,227.27,41.30,13.31,172.64,3170.73
702,232.49,42.77,13.97,175.73,3168.73
703,225.78,38.96,13.33,173.47,3168.97
704,231.91,39.21,13.26,179.43,3168.43
705,225.90,38.56,13.58,173.74,3168.21
706,223.17,38.59,13.23,171.32,3168.66
707,247.37,39.41,13.39,194.55,3168.70
708,227.69,40.62,13.23,173.82,3168.91
709,228.90,38.34,13.62,176.93,3169.84
710,225.38,40.53,13.24,171.59,3169.82
711,228.12,40.63,13.36,174.11,3170.06
712,226.50,41.40,13.18,171.90,3172.30
713,227.91,40.91,13.53,173.45,3172.29
714,228.44,41.15,13.31,173.96,3172.53
715,224.58,40.77,13.18,170.62,3170.52
716,255.25,42.72,13.53,198.98,3173.00
717,225.55,38.78,13.31,173.44,3173.98
718,228.17,40.48,13.19,174.48,3171.96
719,231.04,40.87,13.38,176.74,3171.95
720,230.43,41.46,13.65,175.29,3171.95
721,250.59,40.68,13.70,196.19,3148.84
722,228.96,41.94,13.47,173.53,3154.28
723,230.49,41.53,13.18,175.75,3172.96
724,223.86,41.04,13.25,169.55,3167.94
725,253.50,41.72,13.37,198.39,3171.66
726,232.99,41.30,13.60,178.07,3173.65
727,232.78,40.81,13.40,178.55,3173.68
728,230.51,41.09,13.36,176.03,3171.64
729,232.52,41.06,14.51,176.93,3170.86
730,235.01,41.04,13.28,180.67,3174.86
731,232.47,42.85,13.91,175.70,3171.31
732,227.96,41.15,13.36,173.42,3171.12
733,228.69,41.23,13.76,173.68,3172.80
734,260.68,41.11,13.24,206.32,3174.80
735,236.27,41.98,14.04,180.22,3172.80
736,231.49,41.05,13.17,177.25,3174.82
737,228.04,40.73,13.55,173.74,3175.30
738,222.22,38.18,13.18,170.85,3173.29
739,223.94,40.50,13.27,170.16,3172.87
740,222.99,38.18,13.31,171.48,3173.27
741,229.52,40.49,13.24,175.77,3173.26
742,222.06,40.84,13.25,167.95,3173.25
743,246.43,41.16,13.22,192.04,3173.98
744,230.41,40.62,13.28,176.49,3173.97
745,227.48,40.40,13.27,173.78,3175.97
746,228.68,40.51,13.43,174.73,3176.45
747,223.93,38.27,13.21,172.43,3174.70
748,226.71,40.95,13.24,172.50,3176.69
749,243.52,40.44,13.01,190.05,3159.43
750,236.85,41.37,13.51,181.94,3174.68
751,233.07,38.70,13.34,181.00,3177.42
752,252.26,41.19,13.20,197.85,3176.14
753,238.53,40.62,13.35,184.54,3178.87
754,237.46,38.32,13.41,185.71,3178.86
755,227.02,38.43,13.39,175.18,3174.86
756,230.08,38.32,13.26,178.49,3176.85
757,232.98,38.91,13.32,180.73,3175.56
758,232.05,41.15,13.74,177.14,3175.55
759,226.59,41.46,13.34,171.78,3175.54
760,228.58,40.90,13.36,174.30,3175.54
761,256.15,40.44,13.44,202.25,3176.50
762,235.28,40.56,13.54,181.16,3178.49
763,232.15,40.97,13.30,177.85,3176.48
764,233.70,40.58,13.29,179.81,3178.48
765,244.15,43.35,14.87,185.91,3179.70
766,234.20,40.56,13.27,180.36,3177.70
767,228.62,38.11,13.32,177.18,3177.69
768,226.91,38.46,13.29,175.14,3179.68
769,227.00,38.25,13.37,175.36,3177.92
770,246.93,38.16,13.18,195.57,3179.91
771,228.80,38.80,13.65,176.33,3177.90
772,228.15,38.94,13.29,175.91,3177.42
773,233.91,38.85,13.73,181.31,3177.39
774,230.32,41.28,13.38,175.64,3177.63
775,228.55,38.93,13.26,176.35,3179.38
776,225.81,41.14,13.32,171.33,3177.62
777,252.73,38.24,13.27,201.20,3152.82
778,234.63,38.83,13.50,182.29,3172.05
779,252.60,38.21,13.34,201.03,3173.76
780,233.14,38.41,13.08,181.62,3175.48
781,229.99,38.93,13.27,177.77,3175.19
782,227.43,39.24,13.29,174.89,3177.51
783,231.98,41.16,13.24,177.55,3179.42
784,229.34,41.50,13.36,174.47,3177.41
785,233.00,41.36,12.96,178.66,3178.88
786,227.15,40.50,13.37,173.26,3179.12
787,224.96,41.21,13.28,170.46,3177.11
788,250.27,40.79,13.25,196.22,3177.10
789,226.78,38.12,13.28,175.36,3181.31
790,228.02,38.27,13.18,176.55,3181.30
791,224.26,40.73,13.16,170.35,3181.29
792,230.83,39.14,13.22,178.44,3179.29
793,235.10,40.67,13.40,181.01,3181.61
794,231.81,40.67,13.40,177.71,3181.77
795,229.22,40.53,13.48,175.19,3181.76
796,223.29,40.57,13.07,169.63,3181.75
797,250.80,40.50,13.29,197.00,3181.74
798,233.55,40.64,13.69,179.21,3183.21
799,229.24,40.52,13.24,175.46,3183.20
800,225.79,40.54,13.39,171.84,3181.19
801,233.35,40.54,13.34,179.45,3181.18
802,234.12,40.95,13.49,179.66,3181.18
803,229.19,40.81,13.38,174.98,3183.17
804,231.33,41.14,13.59,176.59,3182.93
805,230.53,41.59,13.40,175.52,3183.12
806,266.72,41.15,13.51,212.04,3157.21
807,242.87,38.31,13.51,191.03,3176.55
808,228.58,38.58,13.38,176.60,3180.55
809,221.38,38.22,13.18,169.96,3177.13
810,220.57,38.31,13.29,168.96,3178.60
811,228.08,38.15,13.22,176.69,3176.59
812,225.11,38.42,13.21,173.46,3178.58
813,228.79,38.41,13.22,177.14,3176.57
814,233.64,38.47,13.41,181.74,3180.04
815,251.47,38.77,13.78,198.90,3178.12
816,233.33,40.53,13.37,179.42,3180.52
817,228.41,38.31,13.27,176.82,3178.51
818,230.98,38.84,13.90,178.22,3178.75
819,235.36,38.19,13.33,183.82,3179.23
820,228.89,39.44,13.22,176.21,3179.23
821,228.98,38.20,13.28,177.48,3179.22
822,228.55,38.54,14.07,175.92,3179.95
823,230.40,39.59,13.33,177.47,3181.70
824,251.98,38.18,13.19,200.59,3179.94
825,226.84,38.28,13.32,175.22,3180.42
826,232.25,41.00,14.26,176.97,3181.47
827,230.85,41.30,13.28,176.25,3181.46
828,226.74,41.24,13.18,172.30,3181.46
829,235.94,41.49,13.37,181.06,3181.36
830,234.82,42.18,13.31,179.31,3183.32
831,226.35,38.94,13.09,174.31,3183.31
832,225.26,38.70,13.10,173.44,3183.30
833,267.80,41.43,13.25,213.11,3160.85
834,236.93,42.81,13.88,180.21,3168.50
835,234.24,39.58,14.00,180.64,3170.99
836,237.04,38.62,13.25,185.14,3179.11
837,229.92,38.79,13.39,177.72,3180.63
838,232.96,39.36,13.16,180.42,3178.59
839,226.85,38.74,13.31,174.78,3179.57
840,226.44,39.56,13.38,173.48,3183.18
841,228.42,39.02,13.31,176.07,3183.16
842,258.06,39.16,13.35,205.54,3181.16
843,231.43,39.15,13.30,178.96,3183.16
844,213.72,38.98,12.96,161.76,3185.40
845,229.61,38.72,13.35,177.53,3185.39
846,239.15,38.85,13.21,187.07,3181.38
847,231.09,39.88,13.62,177.56,3183.46
848,227.11,39.35,13.38,174.36,3181.45
849,231.27,39.03,13.31,178.91,3183.36
850,238.05,38.88,13.37,185.77,3181.36
851,250.13,40.54,13.26,196.30,3181.35
852,227.30,38.75,13.30,175.23,3181.34
853,238.28,41.02,13.42,183.82,3183.34
854,232.71,41.94,13.55,177.20,3183.02
855,224.67,39.03,13.28,172.34,3183.26
856,225.54,39.22,13.22,173.08,3183.25
857,224.69,39.14,13.57,171.96,3185.00
858,225.94,41.16,13.13,171.63,3184.71
859,222.28,39.06,13.30,169.90,3184.71
860,244.59,39.44,13.28,191.85,3185.19
861,243.63,38.29,13.17,192.15,3159.40
862,228.64,39.93,13.42,175.27,3162.87
863,236.53,41.31,13.24,181.97,3183.85
864,234.07,42.51,14.53,177.01,3180.58
865,223.32,39.85,13.23,170.23,3180.05
866,229.63,38.96,13.16,177.49,3184.50
867,225.42,39.69,13.23,172.47,3183.47
868,225.59,39.88,13.39,172.30,3184.70
869,245.70,39.77,13.14,192.77,3187.68
870,228.34,38.83,13.29,176.20,3188.66
871,227.37,38.87,13.30,175.18,3190.89
872,226.35,41.36,13.60,171.37,3188.88
873,223.64,38.73,13.28,171.62,3187.36
874,229.36,38.94,13.22,177.19,3188.82
875,225.37,41.10,13.26,171.00,3190.82
876,228.37,41.41,13.27,173.67,3190.56
877,230.08,41.76,13.14,175.15,3191.05
878,254.02,41.03,13.09,199.87,3191.25
879,233.09,40.88,13.22,178.97,3191.24
880,228.86,40.63,13.22,174.98,3191.23
881,230.74,40.93,13.77,176.02,3191.23
882,228.35,40.50,13.21,174.62,3190.97
883,234.46,41.03,13.27,180.15,3193.95
884,230.67,40.78,13.33,176.54,3191.94
885,227.89,40.74,13.22,173.91,3191.93
886,229.66,40.68,13.47,175.49,3191.67
887,258.78,41.56,13.69,203.51,3192.16
888,236.34,40.59,13.25,182.48,3194.40
889,232.31,40.87,13.21,178.21,3192.39
890,250.15,40.62,13.29,196.22,3170.00
891,235.73,44.83,14.65,176.23,3186.55
892,227.93,41.21,13.22,173.48,3189.25
893,226.84,41.13,13.15,172.55,3188.23
894,226.74,41.11,13.28,172.34,3189.45
895,228.21,41.35,13.21,173.64,3189.91
896,251.29,42.05,13.28,195.94,3192.64
897,226.33,39.25,13.54,173.52,3191.86
898,229.29,40.54,13.18,175.56,3191.85
899,231.53,41.33,13.46,176.72,3193.32
900,232.37,40.56,13.24,178.56,3195.31
901,233.08,40.50,13.60,178.96,3195.55
902,233.94,40.65,13.20,180.06,3195.54
903,229.16,40.98,13.14,175.01,3193.78
904,229.63,40.78,13.41,175.41,3195.77
905,255.40,42.40,13.41,199.58,3195.77
906,234.32,40.99,13.11,180.21,3199.24
907,231.04,38.91,13.28,178.83,3197.31
908,231.37,38.52,13.13,179.69,3197.30
909,233.52,38.18,13.11,182.22,3197.30
910,226.60,38.19,13.20,175.19,3197.21
911,226.88,38.80,13.66,174.40,3199.45
912,226.43,38.17,13.23,175.01,3197.45
913,227.89,38.25,13.29,176.33,3199.44
914,253.02,38.25,13.26,201.50,3199.43
915,234.67,41.30,14.12,179.23,3198.41
916,231.56,38.65,13.17,179.72,3200.41
917,227.59,38.17,13.29,176.11,3200.40
918,249.59,38.72,13.38,197.47,3165.95
919,234.98,41.85,13.54,179.58,3167.96
920,228.37,39.01,13.16,176.18,3168.70
921,228.47,38.84,13.19,176.42,3171.79
922,226.39,41.92,13.21,171.25,3172.75
923,250.98,38.23,13.86,198.87,3173.98
924,238.10,40.62,13.25,184.21,3189.94
925,228.06,38.10,13.25,176.70,3193.66
926,230.86,40.64,13.22,176.98,3189.87
927,231.14,38.51,14.37,178.23,3193.09
928,234.52,40.62,13.36,180.52,3191.12
929,234.51,41.02,13.28,180.19,3194.59
930,225.49,38.30,13.17,174.00,3192.79
931,230.60,40.97,14.50,175.12,3194.51
932,252.58,40.61,13.16,198.79,3192.29
933,227.44,40.87,13.28,173.27,3192.28
934,232.63,38.28,13.26,181.07,3194.52
935,235.44,40.70,13.38,181.34,3195.00
936,227.30,38.34,13.12,175.82,3196.76
937,228.99,42.51,13.19,173.28,3194.75
938,226.96,40.55,13.27,173.13,3194.51
939,233.10,38.04,13.18,181.86,3197.71
940,227.73,38.66,13.23,175.82,3195.95
941,254.47,38.51,13.53,202.41,3194.68
942,233.75,38.67,13.28,181.79,3194.67
943,235.57,38.07,13.31,184.17,3198.67
944,234.61,38.85,13.15,182.60,3196.42
945,229.54,38.25,13.24,178.03,3194.41
946,244.62,39.00,13.52,192.08,3175.10
947,238.43,39.23,13.32,185.86,3186.30
948,229.76,39.38,13.11,177.25,3190.59
949,229.41,39.42,13.13,176.83,3193.48
950,256.95,39.57,13.17,204.20,3192.70
951,235.74,39.43,14.16,182.13,3194.14
952,237.72,38.89,13.27,185.54,3194.14
953,233.79,41.47,13.23,179.07,3194.13
954,232.85,40.49,13.13,179.21,3192.39
955,232.44,38.09,13.44,180.89,3195.62
956,233.03,40.41,13.26,179.34,3197.61
957,227.87,38.54,13.19,176.12,3197.68
958,225.49,38.18,13.16,174.14,3195.84
959,255.76,38.75,13.07,203.92,3196.81
960,228.32,38.17,13.31,176.81,3196.80
961,229.46,38.14,13.30,178.01,3196.80
962,228.73,40.75,13.61,174.35,3197.03
963,240.62,41.83,13.62,185.15,3197.51
964,227.54,38.74,13.31,175.47,3197.50
965,230.59,41.32,13.26,175.99,3195.74
966,228.18,41.13,13.27,173.76,3195.73
967,234.64,38.30,13.30,183.02,3198.79
968,254.42,38.64,12.95,202.81,3198.78
969,234.60,38.47,13.23,182.88,3199.27
970,232.43,40.55,13.28,178.58,3199.18
971,239.70,38.56,13.57,187.55,3199.91
972,234.06,38.16,13.83,182.04,3200.04
973,235.10,40.32,13.45,181.31,3200.03
974,237.22,43.43,13.72,180.05,3200.23
975,250.78,40.63,13.23,196.90,3182.27
976,237.71,41.26,13.43,183.00,3191.58
977,231.00,41.71,13.69,175.59,3196.04
978,255.49,41.29,13.56,200.62,3196.86
979,233.45,40.78,13.94,178.72,3197.83
980,232.12,40.46,13.25,178.40,3198.07
981,233.21,38.74,13.39,181.06,3196.06
982,225.35,38.27,13.33,173.73,3195.82
983,229.83,40.51,13.25,176.05,3198.31
984,230.97,38.37,13.12,179.46,3198.30
985,229.56,38.77,13.08,177.70,3200.30
986,231.82,38.95,13.13,179.73,3198.30
987,257.91,38.33,13.20,206.37,3201.77
988,226.31,38.00,12.86,175.42,3200.01
989,233.89,38.13,13.15,182.60,3198.57
990,229.36,38.10,13.23,178.02,3200.48
991,235.56,38.09,13.24,184.21,3201.95
992,228.95,41.03,13.19,174.71,3199.94
993,229.80,40.98,13.28,175.52,3199.93
994,227.97,41.53,13.30,173.13,3199.93
995,234.76,41.28,13.25,180.21,3199.92
996,257.96,41.84,13.21,202.88,3201.92
997,228.00,39.17,13.26,175.55,3199.91
998,235.92,40.81,13.08,182.00,3199.66
999,239.56,41.64,13.51,184.40,3202.36
1000,233.26,40.59,13.29,179.35,3200.35
1001,229.89,40.43,13.45,176.00,3200.34
1002,228.13,40.48,13.67,173.96,3202.34
1003,243.88,40.53,13.28,190.06,3187.84
1004,234.24,41.22,13.39,179.61,3195.92
1005,254.88,41.17,13.42,200.27,3199.08
1006,239.31,40.60,16.78,181.91,3197.75
1007,238.37,40.46,13.27,184.62,3199.23
1008,229.81,40.72,13.19,175.88,3201.21
1009,229.91,41.21,13.17,175.51,3201.21
1010,226.99,41.15,13.13,172.69,3201.70
1011,234.23,40.79,13.53,179.90,3202.93
1012,229.19,40.55,13.34,175.29,3200.92
1013,233.70,42.55,13.27,177.87,3200.91
1014,263.63,42.58,13.12,207.91,3200.69
1015,235.16,40.56,13.26,181.31,3202.48
1016,231.03,40.50,13.16,177.35,3202.48
1017,231.71,41.51,13.20,176.99,3202.72
1018,231.37,40.96,13.24,177.14,3202.64
1019,233.14,41.01,13.07,179.03,3202.63
1020,227.48,41.29,13.06,173.11,3202.63
1021,229.59,40.87,13.40,175.29,3202.62
1022,228.59,38.97,13.18,176.37,3202.62
1023,264.44,41.81,13.12,209.47,3204.56
1024,234.13,41.17,13.02,179.92,3204.56
1025,229.67,40.53,13.24,175.88,3204.56
1026,227.01,37.96,13.28,175.75,3204.56
1027,237.72,40.82,13.13,183.75,3203.60
1028,230.70,38.12,13.15,179.41,3203.59
1029,222.42,37.92,13.16,171.33,3204.08
1030,224.48,38.15,13.14,173.17,3204.24
1031,240.44,38.30,13.17,188.95,3185.65
1032,259.64,38.92,13.25,207.45,3201.68
1033,226.96,38.11,13.12,175.71,3202.00
1034,226.01,38.79,13.27,173.93,3201.98
1035,235.84,38.70,13.29,183.83,3201.98
1036,220.69,38.71,13.20,168.76,3201.97
1037,224.77,38.77,13.25,172.73,3203.97
1038,225.80,38.58,13.25,173.96,3203.97
1039,231.64,38.71,13.32,179.59,3203.20
1040,222.36,38.67,13.28,170.39,3203.44
1041,254.44,39.11,13.31,202.00,3203.68
1042,231.15,38.87,13.54,178.72,3203.67
1043,232.35,38.86,13.13,180.34,3204.41
1044,227.47,38.95,13.19,175.32,3204.89
1045,226.42,38.82,13.08,174.50,3204.65
1046,225.23,38.65,13.21,173.34,3204.64
1047,228.11,40.99,13.32,173.78,3205.87
1048,224.85,39.23,13.30,172.30,3205.70
1049,227.74,41.20,13.29,173.24,3205.86
1050,249.25,39.40,13.22,196.61,3206.84
1051,223.90,38.05,13.11,172.72,3206.84
1052,221.37,37.93,13.14,170.27,3206.84
1053,226.58,37.99,13.16,175.41,3206.84
1054,230.03,38.09,13.19,178.73,3206.84
1055,227.08,38.91,13.11,175.04,3206.84
1056,228.28,42.01,14.74,171.51,3207.16
1057,221.58,38.93,13.16,169.47,3207.16
1058,221.36,39.15,13.25,168.94,3207.10
1059,268.96,39.38,13.28,216.28,3177.96
1060,230.80,39.13,13.16,178.50,3197.37
1061,227.43,38.72,13.13,175.56,3198.60
1062,226.07,38.79,13.43,173.83,3199.32
1063,221.34,39.67,13.34,168.31,3200.31
1064,220.10,38.08,13.27,168.73,3201.54
1065,224.47,38.58,13.16,172.71,3202.27
1066,226.28,40.99,13.82,171.45,3203.01
1067,225.14,39.49,13.43,172.20,3204.49
1068,250.32,38.35,13.44,198.51,3206.70
1069,225.67,40.43,13.10,172.13,3206.70
1070,226.11,40.33,13.19,172.25,3207.20
1071,224.61,40.54,13.66,170.39,3207.20
1072,226.68,40.53,13.43,172.69,3207.66
1073,229.30,41.14,13.29,174.85,3209.31
1074,226.75,41.88,14.39,170.46,3209.31
1075,223.85,40.78,13.26,169.79,3206.62
1076,225.54,40.83,13.22,171.47,3206.40
1077,250.02,39.36,13.09,197.55,3208.12
1078,224.98,39.26,13.09,172.61,3210.12
1079,223.50,38.32,13.06,172.10,3208.36
1080,225.97,38.23,13.23,174.49,3209.34
1081,228.04,38.66,13.25,176.11,3209.33
1082,226.39,39.47,13.54,173.36,3209.33
1083,221.51,39.12,13.43,168.94,3209.57
1084,223.17,38.56,13.09,171.51,3209.56
1085,220.71,38.80,13.09,168.79,3209.56
1086,253.13,39.12,13.11,200.88,3210.30
1087,238.61,39.01,13.15,186.43,3182.20
1088,228.46,40.69,13.63,174.11,3184.17
1089,232.65,41.93,13.18,177.52,3202.13
1090,225.69,42.25,13.32,170.11,3203.36
1091,224.39,39.29,13.24,171.84,3204.10
1092,228.04,41.06,13.36,173.59,3206.07
1093,227.46,42.23,13.66,171.55,3206.81
1094,228.37,41.15,13.64,173.57,3209.27
1095,247.82,38.21,13.26,196.34,3210.02
1096,232.28,41.15,14.15,176.97,3208.69
1097,222.17,38.02,13.21,170.92,3208.66
1098,222.46,38.62,13.17,170.66,3208.66
1099,223.60,38.71,13.05,171.82,3209.09
1100,225.57,39.88,13.97,171.70,3209.09
1101,223.80,41.59,12.96,169.23,3210.81
1102,219.78,38.04,13.22,168.50,3210.81
1103,222.73,38.15,13.17,171.38,3211.30
1104,247.49,38.30,13.29,195.88,3211.55
1105,222.32,38.78,13.43,170.09,3211.55
1106,226.24,40.38,13.16,172.69,3211.32
1107,220.67,38.06,13.13,169.45,3211.55
1108,223.85,38.02,13.08,172.73,3211.54
1109,227.65,40.66,13.22,173.75,3212.77
1110,220.23,38.04,13.17,169.00,3213.02
1111,223.03,38.13,13.19,171.69,3213.02
1112,220.30,38.32,13.42,168.54,3213.26
1113,249.02,38.17,13.00,197.84,3213.51
1114,225.44,40.82,13.19,171.41,3213.52
1115,238.18,38.29,13.26,186.62,3192.59
1116,214.56,40.24,12.99,161.32,3206.61
1117,224.81,39.45,13.27,172.06,3207.60
1118,209.79,39.74,12.85,157.19,3208.58
1119,224.18,39.54,13.28,171.34,3210.06
1120,219.67,39.22,13.14,167.29,3210.80
1121,226.34,39.14,13.00,174.19,3212.49
1122,255.64,41.44,13.14,201.04,3212.59
1123,226.35,39.21,13.11,174.02,3212.59
1124,225.82,40.63,13.20,171.98,3213.72
1125,227.14,40.28,13.22,173.62,3214.85
1126,223.40,40.59,13.22,169.57,3214.85
1127,222.13,38.31,13.45,170.35,3214.85
1128,224.24,40.55,13.17,170.49,3215.09
1129,222.47,41.02,13.18,168.26,3215.09
1130,225.76,41.18,13.15,171.41,3214.84
1131,251.87,41.28,12.99,197.59,3215.33
1132,223.92,40.59,13.21,170.09,3215.33
1133,224.43,40.70,13.54,170.17,3215.58
1134,222.11,40.68,13.17,168.24,3215.58
1135,222.62,40.31,13.10,169.19,3215.58
1136,223.02,38.25,13.04,171.71,3215.58
1137,222.81,38.22,13.14,171.43,3215.58
1138,228.32,40.60,13.19,174.51,3215.33
1139,223.25,39.27,13.45,170.51,3215.57
1140,252.78,38.91,13.11,200.75,3216.48
1141,228.75,40.94,13.23,174.57,3216.26
1142,225.12,40.24,13.21,171.66,3216.75
1143,225.14,40.52,13.16,171.41,3216.75
1144,240.36,40.55,13.23,186.56,3187.86
1145,233.90,42.07,13.32,178.49,3207.79
1146,223.65,39.26,13.55,170.83,3210.72
1147,219.21,38.59,13.03,167.58,3211.70
1148,220.52,39.50,13.49,167.51,3212.69
1149,252.09,38.26,13.20,200.61,3213.43
1150,232.52,42.38,13.31,176.82,3214.16
1151,226.03,43.13,13.25,169.64,3213.99
1152,226.74,38.08,13.32,175.32,3213.99
1153,226.29,40.51,13.17,172.60,3213.91
1154,227.51,38.77,13.15,175.58,3214.40
1155,223.46,39.30,13.46,170.68,3214.40
1156,226.00,41.46,13.12,171.40,3214.40
1157,222.76,38.82,13.25,170.67,3216.12
1158,249.31,38.71,13.14,197.44,3216.62
1159,223.95,39.06,13.23,171.65,3217.11
1160,225.07,39.05,13.35,172.66,3217.35
1161,222.52,39.05,13.21,170.23,3217.22
1162,228.05,38.62,13.17,176.24,3211.37
1163,225.73,40.52,13.15,172.04,3211.12
1164,226.01,38.19,13.18,174.62,3211.86
1165,224.74,38.96,13.33,172.43,3214.57
1166,219.48,37.97,13.19,168.30,3214.57
1167,245.22,41.13,13.21,190.86,3215.80
1168,229.33,40.45,13.31,175.55,3215.96
1169,223.11,40.81,13.56,168.72,3215.72
1170,229.68,40.31,13.18,176.18,3215.02
1171,225.29,40.43,13.40,171.43,3215.75
1172,237.92,38.33,13.19,186.38,3196.06
1173,228.49,38.51,13.13,176.83,3211.81
1174,228.76,42.78,13.68,172.28,3212.81
1175,225.06,41.56,13.47,170.00,3214.02
1176,246.54,40.42,13.18,192.92,3214.27
1177,224.08,40.39,13.22,170.45,3214.76
1178,224.99,40.32,13.12,171.53,3214.75
1179,228.74,40.97,13.51,174.23,3215.25
1180,223.78,41.34,13.42,169.00,3215.25
1181,223.46,40.53,13.13,169.79,3215.25
1182,220.13,38.09,13.14,168.88,3215.49
1183,221.76,38.13,13.08,170.53,3216.23
1184,224.85,40.30,13.11,171.42,3216.31
1185,249.32,40.52,13.13,195.65,3216.55
1186,224.93,41.29,13.26,170.36,3216.47
1187,225.16,40.47,13.12,171.55,3216.47
1188,225.25,40.40,13.21,171.62,3216.72
1189,225.53,37.97,13.08,174.46,3216.72
1190,226.76,40.90,13.23,172.61,3216.72
1191,227.45,40.63,13.03,173.77,3218.44
1192,226.67,40.90,13.26,172.50,3218.44
1193,225.40,41.54,12.82,171.03,3218.69
1194,247.19,38.22,13.18,195.77,3218.68
1195,234.25,41.04,13.21,179.97,3219.75
1196,227.57,40.74,13.42,173.39,3219.63
1197,239.40,40.61,13.28,185.49,3194.39
1198,228.87,41.26,13.59,174.00,3203.03
1199,228.17,41.04,13.31,173.80,3208.44
1200,225.89,40.46,13.27,172.14,3208.43
