Frame,Total_Inf(ms),YOLO(ms),ResNet(ms),UNet(ms),RAM(MB)
138,251.01,38.63,13.33,199.04,3153.51
139,232.74,38.06,13.23,181.43,3154.46
140,223.96,38.00,13.12,172.82,3151.18
141,222.34,38.19,13.19,170.94,3153.43
142,223.62,38.92,13.14,171.54,3151.41
143,225.84,39.50,12.99,173.34,3151.65
144,225.88,41.80,13.23,170.83,3151.64
145,218.99,38.78,13.14,167.06,3151.88
146,209.08,41.11,12.71,155.24,3151.87
147,246.87,38.65,13.20,195.00,3157.55
148,227.92,41.68,13.23,172.99,3155.79
149,224.13,39.38,13.16,171.57,3157.78
150,229.62,38.91,13.25,177.44,3161.50
151,231.71,39.44,13.63,178.62,3162.94
152,225.31,38.56,13.28,173.46,3164.72
153,230.68,38.55,13.13,178.99,3164.47
154,222.61,38.09,13.25,171.25,3166.71
155,225.13,38.45,13.18,173.48,3165.93
156,253.60,38.39,13.40,201.79,3152.12
157,223.12,39.07,13.24,170.79,3150.36
158,219.48,38.05,13.26,168.15,3150.61
159,227.20,38.69,13.11,175.39,3153.68
160,227.31,39.50,13.80,173.99,3154.65
161,220.87,38.56,13.26,169.04,3156.65
162,208.72,39.02,13.05,156.64,3158.89
163,225.87,38.89,13.17,173.79,3156.88
164,225.39,38.78,13.46,173.12,3153.36
165,258.69,38.35,13.25,207.07,3130.44
166,230.28,38.22,13.44,178.59,3145.35
167,225.02,38.01,13.17,173.82,3153.63
168,228.94,38.05,13.30,177.57,3160.08
169,223.44,38.11,13.15,172.16,3156.32
170,223.30,37.95,13.26,172.06,3156.31
171,226.86,40.54,13.26,173.04,3157.29
172,226.12,39.01,13.10,174.00,3160.76
173,226.24,38.80,13.26,174.16,3161.00
174,250.33,39.05,13.18,198.08,3163.97
175,230.26,41.53,13.26,175.45,3168.20
176,230.20,38.91,13.27,178.00,3166.41
177,226.32,40.69,13.06,172.55,3170.41
178,222.49,38.59,13.20,170.70,3168.40
179,224.04,40.34,13.19,170.49,3170.40
180,224.56,37.96,12.96,173.62,3170.64
181,223.42,40.58,13.28,169.54,3170.63
182,221.93,38.01,13.09,170.82,3170.62
183,249.25,40.76,13.14,195.33,3168.86
184,226.55,38.51,13.10,174.92,3169.84
185,221.86,38.06,13.05,170.73,3169.61
186,227.10,40.64,13.22,173.23,3169.86
187,225.12,38.30,13.26,173.53,3172.09
188,227.57,38.40,13.25,175.90,3170.57
189,210.48,38.80,12.85,158.82,3170.81
190,226.82,40.98,13.17,172.65,3170.80
191,221.02,38.71,13.13,169.16,3173.04
192,260.64,38.93,13.11,208.58,3131.06
193,234.89,45.47,13.39,176.02,3137.45
194,225.08,39.42,13.16,172.48,3138.67
195,224.02,38.91,13.03,172.06,3141.41
196,231.49,40.97,13.13,177.37,3144.11
197,226.65,38.32,13.09,175.22,3146.59
198,227.64,41.31,13.10,173.21,3149.82
199,224.22,38.97,13.25,171.99,3148.80
200,221.90,38.18,13.25,170.45,3149.38
201,244.25,37.93,13.35,192.94,3150.84
202,227.14,40.37,13.26,173.50,3150.35
203,227.72,40.52,13.21,173.96,3152.23
204,226.56,40.96,13.60,171.99,3153.20
205,230.58,38.15,13.22,179.18,3156.43
206,226.26,41.42,13.40,171.43,3156.50
207,226.89,40.55,13.29,173.03,3156.49
208,224.01,40.71,13.19,170.09,3156.64
209,230.95,38.15,13.13,179.65,3156.64
210,250.61,40.89,13.12,196.59,3159.37
211,224.57,38.07,13.25,173.24,3157.61
212,223.76,38.62,13.18,171.94,3157.60
213,227.40,37.99,13.17,176.22,3155.59
214,229.50,40.65,13.27,175.57,3155.83
215,221.76,38.91,13.17,169.63,3155.57
216,224.75,41.07,13.25,170.41,3155.80
217,228.75,38.84,13.12,176.78,3156.00
218,222.00,39.57,13.10,169.31,3156.29
219,227.30,39.26,12.85,175.18,3158.53
220,227.01,38.34,13.24,175.41,3160.04
221,246.72,41.10,13.23,192.38,3123.07
222,234.28,39.47,13.20,181.58,3148.67
223,228.22,38.69,13.22,176.30,3152.77
224,221.66,38.17,13.20,170.27,3158.76
225,231.59,41.11,13.36,177.10,3159.18
226,222.85,38.98,12.99,170.86,3162.86
227,223.81,38.64,12.89,172.26,3171.74
228,250.50,38.41,13.28,198.79,3176.47
229,228.94,38.03,13.25,177.64,3176.00
230,226.76,38.09,13.22,175.43,3174.21
231,226.59,38.22,13.14,175.21,3176.95
232,227.54,38.78,13.20,175.54,3177.51
233,221.37,39.04,13.44,168.87,3177.66
234,224.13,38.69,13.41,172.00,3179.91
235,221.21,38.85,13.23,169.11,3179.90
236,224.43,38.81,13.15,172.45,3179.89
237,237.46,39.37,13.01,185.06,3182.86
238,233.66,42.16,13.66,177.82,3183.61
239,234.91,41.26,13.85,179.78,3181.60
240,231.02,41.06,13.34,176.61,3183.60
241,230.62,38.85,13.60,178.15,3183.33
242,239.61,41.08,14.38,184.13,3166.00
243,232.09,40.54,13.35,178.19,3168.00
244,228.87,39.02,13.55,176.29,3167.21
245,226.82,40.55,13.92,172.34,3167.42
246,231.61,40.19,15.58,175.82,3171.92
247,259.18,38.15,13.02,208.00,3183.33
248,227.28,38.11,13.12,176.04,3183.56
249,243.32,38.15,13.23,191.92,3144.33
250,236.82,40.32,13.31,183.17,3162.79
251,239.72,44.62,14.06,181.02,3167.49
252,227.93,40.44,13.24,174.23,3165.94
253,230.42,43.49,13.04,173.87,3166.59
254,231.47,41.63,14.18,175.63,3169.05
255,229.35,40.89,13.29,175.15,3171.25
256,254.24,40.49,13.15,200.58,3175.99
257,242.61,40.80,13.23,188.57,3167.17
258,236.82,41.23,14.08,181.48,3168.39
259,231.35,40.35,13.25,177.73,3168.38
260,232.20,39.61,13.90,178.67,3171.68
261,230.93,40.55,13.23,177.13,3176.08
262,232.18,40.94,13.34,177.89,3185.72
263,228.87,38.17,13.15,177.54,3183.96
264,226.11,40.36,13.19,172.55,3184.20
265,250.02,38.11,13.20,198.70,3182.19
266,230.89,38.61,14.19,178.06,3183.66
267,227.11,38.13,13.26,175.70,3183.90
268,224.87,38.38,13.53,172.94,3183.89
269,228.79,40.41,13.34,175.02,3187.36
270,242.84,40.63,13.39,188.80,3175.96
271,227.83,38.13,13.24,176.43,3180.20
272,225.96,40.56,13.32,172.05,3180.20
