Frame, Inference_Time(ms), CPU(%), RAM(MB), GPU_Mem(MB)
138, 11.63, 25.0, 3103.22, 52.39
139, 11.60, 25.0, 3103.22, 52.39
140, 11.77, 26.3, 3103.22, 52.39
141, 11.74, 25.0, 3103.22, 52.39
142, 11.70, 30.0, 3103.30, 52.39
143, 11.70, 22.2, 3103.30, 52.39
144, 11.76, 25.0, 3103.30, 52.39
145, 11.67, 21.1, 3103.30, 52.39
146, 11.96, 31.3, 3103.30, 52.39
147, 11.83, 31.6, 3103.30, 52.39
148, 11.97, 25.0, 3103.13, 52.39
149, 11.73, 30.0, 3103.13, 52.39
150, 11.61, 26.3, 3103.13, 52.39
151, 12.61, 26.3, 3103.13, 52.39
152, 11.56, 25.0, 3103.13, 52.39
153, 12.49, 31.6, 3103.13, 52.39
154, 12.11, 21.1, 3103.13, 52.39
155, 12.73, 30.0, 3102.96, 52.39
156, 11.68, 25.0, 3102.96, 52.39
157, 11.66, 26.3, 3102.96, 52.39
158, 11.66, 33.3, 3102.96, 52.39
159, 12.26, 28.6, 3102.96, 52.39
160, 11.73, 22.2, 3102.96, 52.39
161, 11.69, 28.6, 3102.63, 52.39
162, 11.98, 26.3, 3102.63, 52.39
163, 12.90, 31.8, 3102.63, 52.39
164, 11.71, 21.1, 3102.63, 52.39
165, 11.64, 17.6, 3102.63, 52.39
166, 11.74, 30.0, 3102.63, 52.39
167, 11.63, 30.0, 3102.63, 52.39
168, 11.78, 22.2, 3102.21, 52.39
169, 11.67, 26.3, 3102.21, 52.39
170, 11.82, 27.8, 3102.21, 52.39
171, 11.80, 26.3, 3102.21, 52.39
172, 11.63, 26.3, 3102.21, 52.39
173, 11.71, 26.3, 3102.21, 52.39
174, 11.96, 22.2, 3102.05, 52.39
175, 11.77, 27.8, 3102.05, 52.39
176, 11.63, 28.6, 3102.05, 52.39
177, 14.65, 30.0, 3102.05, 52.39
178, 11.79, 35.0, 3102.79, 52.39
179, 12.27, 22.2, 3102.79, 52.39
180, 11.68, 25.0, 3102.40, 52.39
181, 11.78, 26.3, 3102.40, 52.39
182, 11.56, 27.8, 3102.40, 52.39
183, 11.74, 26.3, 3102.40, 52.39
184, 11.56, 26.3, 3102.40, 52.39
185, 12.19, 30.0, 3102.39, 52.39
186, 11.89, 30.0, 3102.39, 52.39
187, 11.74, 25.0, 3102.22, 52.39
188, 11.54, 22.2, 3102.22, 52.39
189, 11.80, 26.3, 3102.22, 52.39
190, 11.57, 26.3, 3102.22, 52.39
191, 11.72, 26.3, 3102.22, 52.39
192, 11.58, 21.1, 3102.09, 52.39
193, 11.86, 30.0, 3102.09, 52.39
194, 11.70, 22.2, 3101.92, 52.39
195, 11.79, 22.2, 3101.92, 52.39
196, 11.70, 25.0, 3101.92, 52.39
197, 11.71, 28.6, 3101.92, 52.39
198, 11.86, 30.0, 3101.92, 52.39
199, 11.78, 31.8, 3101.71, 52.39
200, 11.80, 21.1, 3101.71, 52.39
201, 11.65, 25.0, 3101.64, 52.39
202, 11.97, 25.0, 3101.64, 52.39
203, 12.11, 25.0, 3101.64, 52.39
204, 11.92, 28.6, 3101.72, 52.39
205, 11.66, 22.2, 3101.72, 52.39
206, 11.65, 23.5, 3101.72, 52.39
207, 11.56, 22.2, 3101.72, 52.39
208, 12.45, 38.1, 3102.71, 52.39
209, 11.89, 26.3, 3102.95, 52.39
210, 11.73, 21.1, 3102.79, 52.39
211, 11.87, 26.3, 3102.79, 52.39
212, 11.56, 26.3, 3102.79, 52.39
213, 11.52, 21.1, 3102.79, 52.39
214, 11.62, 26.3, 3102.71, 52.39
215, 12.27, 23.8, 3102.71, 52.39
216, 12.62, 25.0, 3102.55, 52.39
217, 11.80, 26.3, 3102.55, 52.39
218, 11.68, 17.6, 3102.55, 52.39
219, 11.80, 21.1, 3102.55, 52.39
220, 11.71, 28.6, 3102.55, 52.39
221, 11.70, 26.3, 3102.55, 52.39
222, 11.71, 25.0, 3102.38, 52.39
223, 11.78, 30.0, 3102.38, 52.39
224, 13.22, 23.8, 3102.38, 52.39
225, 11.74, 21.1, 3102.38, 52.39
226, 11.70, 26.3, 3102.38, 52.39
227, 11.89, 22.2, 3102.38, 52.39
228, 11.64, 25.0, 3102.38, 52.39
229, 11.84, 26.3, 3102.04, 52.39
230, 11.77, 26.3, 3102.04, 52.39
231, 11.68, 26.3, 3101.87, 52.39
232, 11.74, 26.3, 3101.87, 52.39
233, 11.85, 22.2, 3101.87, 52.39
234, 12.17, 30.0, 3101.87, 52.39
235, 11.80, 21.1, 3101.63, 52.39
236, 11.78, 31.8, 3101.63, 52.39
237, 11.61, 33.3, 3101.63, 52.39
238, 11.64, 26.3, 3101.63, 52.39
239, 12.44, 35.0, 3102.09, 52.39
240, 11.68, 30.0, 3102.34, 52.39
241, 13.46, 25.0, 3102.34, 52.39
242, 11.78, 27.8, 3102.17, 52.39
243, 11.72, 21.1, 3102.10, 52.39
244, 11.87, 22.2, 3102.10, 52.39
245, 11.60, 23.5, 3102.10, 52.39
246, 11.85, 22.2, 3102.10, 52.39
247, 11.64, 30.0, 3102.10, 52.39
248, 11.80, 26.3, 3102.10, 52.39
249, 11.66, 27.8, 3101.93, 52.39
250, 11.91, 26.3, 3101.93, 52.39
251, 11.57, 26.3, 3101.93, 52.39
252, 11.75, 22.2, 3101.93, 52.39
253, 11.65, 31.8, 3101.93, 52.39
254, 11.77, 29.4, 3101.93, 52.39
255, 11.76, 28.6, 3101.93, 52.39
256, 11.94, 25.0, 3101.60, 52.39
257, 11.71, 21.1, 3101.60, 52.39
258, 11.74, 21.1, 3101.60, 52.39
259, 11.74, 30.0, 3101.60, 52.39
260, 11.72, 21.1, 3101.60, 52.39
261, 11.87, 21.1, 3101.43, 52.39
262, 11.70, 22.2, 3101.32, 52.39
263, 11.77, 20.0, 3101.32, 52.39
264, 12.21, 26.3, 3101.32, 52.39
265, 11.77, 22.2, 3101.32, 52.39
266, 11.67, 25.0, 3101.32, 52.39
267, 11.63, 23.8, 3101.04, 52.39
268, 11.63, 30.0, 3101.04, 52.39
269, 11.70, 25.0, 3101.04, 52.39
270, 11.77, 30.0, 3101.04, 52.39
271, 11.84, 35.0, 3101.04, 52.39
272, 11.92, 21.1, 3101.04, 52.39
273, 11.44, 25.0, 3100.87, 52.39
274, 11.58, 30.0, 3100.87, 52.39
275, 11.63, 22.2, 3100.87, 52.39
276, 11.62, 21.1, 3100.87, 52.39
277, 11.74, 22.2, 3100.80, 52.39
278, 11.58, 23.5, 3100.80, 52.39
279, 11.66, 28.6, 3100.63, 52.39
280, 11.93, 27.8, 3100.63, 52.39
281, 11.75, 30.0, 3100.63, 52.39
282, 11.73, 26.3, 3100.63, 52.39
283, 11.73, 25.0, 3100.63, 52.39
284, 11.76, 30.0, 3100.63, 52.39
285, 11.61, 28.6, 3100.54, 52.39
286, 11.72, 30.0, 3100.54, 52.39
287, 11.57, 26.3, 3100.54, 52.39
288, 11.76, 22.2, 3100.54, 52.39
289, 11.69, 25.0, 3100.54, 52.39
290, 11.42, 23.5, 3100.54, 52.39
291, 11.60, 25.0, 3100.62, 52.39
292, 11.66, 26.3, 3100.52, 52.39
293, 11.54, 26.3, 3100.52, 52.39
294, 11.68, 30.0, 3100.52, 52.39
